Type,                        Txhash,,,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
SolTransfer,2NPdHonTc6HTkGtagt7dEcsANjVCnQ1FxVc43DfPzVxmbQrsPUMs7FfSrkghpvgBwVjoYaeenT8cgShP7Rq1e9zp,1702112220,2023-12-09T08:57:00,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5zQsrsSB9fgVS97BtGrHgF5kPmKnUDgBY4iX8MTbRB8FXsG174UcS8vpogwKhxcXSvS1oc7BbH7m6u6iC3et7fLT,1701066163,2023-11-27T06:22:43,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,AK6WgfHwdcjdRBU6Nd1XnFecEjQEnsWKzDwcYt7ndgiH,0.1
SolTransfer,5FkHv28AdHHhiiwZLdYFSqp556BUVCnts3ZhAdpxPMLLWK5XeLwj4Lob1644HiU2FBs9HJuAfRsurkTyrg1CGAir,1701066133,2023-11-27T06:22:13,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,EL4dUZ6bRstUJMBfULmKWtvrdLWYUNk7BHMe7ZaV7mg6,0.1
SolTransfer,524Ub9ZjP59WbvgaCXkZz4oWN7QcbgWrzqtbV2Y9DRewcTnF7zhkP5737Uish9E7DSV7UEhoh6dzaaKTTKhKgYum,1701065767,2023-11-27T06:16:07,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5U7CdmawpbBaNLqt9Ry46vLziMKXU5druSTTiCATKgcoN8TnsKAtGScTqB6JsGyjUNL2xfzTVXWLuSqy1tdS7Jua,1701065753,2023-11-27T06:15:53,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,4sd9DqhoabCKXzWghZpHaWGPra2ry8whyDDRpZGJeVDW8yLmtJ17NxvuG78rsEk6U8YSqhnggj2EGfTcgvgwuqam,1701065740,2023-11-27T06:15:40,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,5vwNsdFC34HkATKaC7v8YoJa3MzSZEQDHj1BGmpWhdtAyn9GJVjQndbFnkBKq7yep9bqEmKvwaQgAjMHK7c38ouw,1701065739,2023-11-27T06:15:39,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,7bnLF2LPwn2NW4UpjTGGqdTe9jABWJG36QkksNrdfnEE,0.1
SolTransfer,36C15pKuYCsrLi9MU9SSfn1X4r5Mrb331AkBEpwRrrJr6a6L5WSp9yeiTA9yCe5T6dyDraeAygEKWuGthHkkCaYN,1701065724,2023-11-27T06:15:24,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,Eju3SZ722B7qe6a3buZCmuBdhSSFbfe6KiQKjAoLwVKT,0.1
SolTransfer,3HRbyc7xhZpGYH7CReT7rKbyryDVgYuyJ1M7BxoMw1HzuMP1xvE71vPiDZ5Fxysg1YDTydGmS5dZME1BWuPVQ3Po,1701065717,2023-11-27T06:15:17,0.000005,,,,,,,Solana,SOL,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,
SolTransfer,51uZht2SBXdY1MD3fxxkxcpGsptkXRb8z1resX9ezrGhtag96bdD6yQ263Dw93i4duFkWY67Bjh9GTxLm5dsR5zm,1701065716,2023-11-27T06:15:16,0.000005,,,,,,,Solana,SOL,76qN7NiXKLRm9G1bDeyBkbP3gfP6DVvfWZFxhW2F52jy,HjFyBgARTr8Voc4zBUckm77fEYWUzZkcJXqZqykxk3j4,0.1
